id	title	pids
32387	棋·莫将戏事扰	66775
32388	送萧十八与房侍御回还	2064
32389	晚春送王秀才游剡川	18988
32390	秋来	13183
32391	浣溪沙·簌簌衣巾落枣花	68974
32392	忆秦娥（三之二）	46528
32393	朝中措（茶）	52155
32394	金门答苏秀才	71830
32395	奉试冷井诗	73596
32396	竞渡	13405
32397	赠刘采春	14069
32398	渔父词一十八首。方契理	41220
32399	欲销云	17606,17637
32400	刘生诗	10266
32401	谪居舒州，累得韩高二舍人书，作此寄之	36205
32402	热海行送崔侍御还京	73031
32403	赠镜公（一作旅次钱塘）	29650
32404	蜻蜓	31674,31763
32405	潇湘神·斑竹枝	68937
32406	题寿安县甘棠馆御沟	21310
32407	齐开乐	60722
32408	对酒五首	16133
32409	黄檗馆	9759
32410	夏初访鲁望偶题小斋	27612
32411	杂言用投丹阳知己兼奉宣慰判官（以下见《诗纪》）	72173
32412	题光福上方塔	30628
32413	桥	27233
32414	咏史诗。昆阳	29524
32415	玩手植松	19010
32416	玉团儿	46999,47175,52053
32417	湘川新曲二首	19699
32418	桓	22817
32419	桐	27974,28663
32420	台州郑员外郡斋双鹤	20766
32421	望月有怀（一作康庭芝诗，一作沈佺期诗）	24312
32422	酹江月（金丹合潮候图）	65802
32423	感樱桃花，因招饮客	15358
32424	尚书省受誓诫贻太庙裴丞	58995
32425	春秋战国门。杨回	35047
32426	鸲鹆谣	43472
32427	满庭芳（立春）	47794,50795
32428	桂	27941,28630
32429	桃	27985,28675
32430	相和歌辞。陇西行	5978,5989,6000
32431	春雁	70154
32432	中秋陪熙用学士禁中玩月	31989
32433	越中问海客	5251
32434	汉水伤稼	22025
32435	渔家傲（江行阻风）	62012
32436	见薛大臂鹰作（一作李白）	2152
32437	法曲－美列圣，正华声也	14173
32438	咏史诗。息城	29468
32439	惜分飞（歌楼别客）	60965
32440	卜算子（次韵虞夔宪刚简新作巴绿亭）	57026,57236
32441	杂剧·程咬金斧劈老君堂	68380
32442	蝶恋花（密州冬夜文安国席上作）	45315
32443	水龙吟（海棠）	57549,61022
32444	幽窗（以下《香奁集》）	31882
32445	古意曲	37908
32446	答陈秀才	40196
32447	镜换杯	16106
32448	所知从事近藩偶有怀寄	31301
32449	木兰花慢（雷峰落照）	60668
32450	永遇乐·璧月初晴	60561
32451	酬孙发	29848
32452	郊庙歌辞。仪坤庙乐章。金奏（一本无此章）	73024
32453	寄崇梵僧（崇梵寺近东阿覆釜村）	51982
32454	【双调】庆东原_风月所举问	68329
32455	天枢谣	42196
32456	忆秦娥（昨和次，又作收灯节未遣，早见古岩四叠又得中斋别梅遂并写寄）	60361
32457	太湖诗。销夏湾	27440
32458	小重山·端午	69784
32459	病宫人（一作张祜诗）	19928
32460	酒泉子·花映柳条	69647
32461	信美寺岑上人（一作司空图诗）	31148
32462	宿韦员外宅	5856
32463	送王协律游杭越十韵	13586
32464	送丘为赴上都（一作送皇甫曾）	65971
32465	酬杜使君见寄	39617
32466	立春日感怀	69836
32467	送君去	35535,35568
32468	寒夜怀友杂体二首	26260
32469	题新居呈王尹，兼简府中三掾	15865
32470	归故林别知己	39365
32471	离思五首·其四	69920
32472	水调歌头（九日修故事访南山，崖间有前太守所作水调歌头，率尔次韵）	66635
32473	无羊	11478
32474	题彭祖楼	24399
32475	菩萨蛮（宜兴作）	47360
32476	南乡子（二之二）	46505
32477	语松竹	33130
32478	玉山	22402
32479	与杭州薛司户登樟亭楼作	70952
32480	夜行船（怀越中）	53353
32481	题苏公林亭	3931
32482	寄睦州陆郎中（一作寄陆睦州）	27152
32483	扈从登封告成颂应制	24445
32484	喜外弟卢纶见宿	7958
32485	别张十三建封	2704
32486	吴越王与陶穀酒令	42265
32487	有駜	23249
32488	和周繇校书先辈省中寓直	27340
32489	染丝上春机	13307
